Gene Id	Top hits (Family id,e-value,bitscore)
k91_9033_6	TIGR03654,4.3e-73,241.8
k91_9033_2	TIGR01079,1.4e-26,90.0
k91_9033_8	TIGR01021,1e-68,227.1
k91_13473_6	TIGR00082,4e-21,72.7
k91_21508_4	TIGR00061,5.8e-26,87.9
k91_37891_10	TIGR02273,7.2e-38,126.6
k91_37891_11	TIGR00088,4.2e-71,235.9
k91_18289_20	TIGR00456,2e-140,465.8
k91_9033_10	TIGR01071,1.7e-43,144.9
k91_22523_3	TIGR00810,5.6e-19,65.1
k91_2498_4	TIGR01029,3.7e-67,222.1
k91_17841_7	TIGR01060,7.8e-210,693.9
k91_10192_11	TIGR01059,1.5e-267,886.3
k91_10192_10	TIGR01063,0.0,1083.0
k91_7677_7	TIGR02397,3.5e-118,391.9
k91_29394_11	TIGR02432,2.6e-38,128.9
k91_11075_10	TIGR01164,6.2e-57,188.2
k91_8239_9	TIGR00362,1.1e-161,535.8
k91_8239_8	TIGR00663,1.3e-75,251.7
k91_14786_12	TIGR00521,1.3e-107,357.2
k91_15333_4	TIGR00006,1.3e-87,291.2
k91_24416_1	TIGR00337,1.7e-234,776.3
k91_3409_5	TIGR00396,1.2e-286,950.2
k91_12908_6	TIGR00168,6.9e-61,201.7
k91_25597_5	TIGR00431,3.3e-53,177.5
k91_35606_18	TIGR00436,2.5e-65,217.6
k91_12908_8	TIGR01032,1.7e-45,151.0
k91_19864_3	TIGR02012,5.2e-174,575.0
k91_7127_6	TIGR00670,1.4e-86,287.4
k91_38249_6	TIGR00635,5.1e-128,423.4
k91_38249_7	TIGR00084,8.9e-36,120.2
k91_29326_2	TIGR00086,2.3e-52,173.9
k91_29326_5	TIGR00020,1.1e-155,515.1
k91_29739_7	TIGR01146,2.2e-88,293.8
k91_29739_8	TIGR01039,2.9e-235,778.3
k91_5057_9	TIGR00054,9e-42,140.4
k91_14786_10	TIGR03263,2.8e-66,219.6
k91_17904_1	TIGR00382,1.2e-145,482.7
k91_14786_15	TIGR00460,6.7e-69,229.4
k91_4726_5	TIGR00442,2.6e-106,353.0
k91_12908_10	TIGR00468,8.5e-88,291.7
k91_12908_11	TIGR00472,9.5e-178,590.0
k91_14563_2	TIGR00029,5.6e-24,81.5
k91_14563_1	TIGR01128,1e-28,97.6
k91_14563_4	TIGR01393,7.9e-293,969.3
k91_25448_7	TIGR01066,4.3e-58,192.2
k91_6593_8	TIGR01394,6.1e-274,906.8
k91_27372_4	TIGR03725,3.6e-42,141.8
k91_25497_1	TIGR00083,1.1e-50,169.7
k91_27372_6	TIGR03723,7.6e-126,416.5
k91_11075_8	TIGR01044,2.2e-38,127.7
k91_11075_9	TIGR01009,2.7e-90,298.8
k91_11075_4	TIGR03953,2.9e-68,225.9
k91_11075_6	TIGR01171,6.9e-131,432.6
k91_17841_11	TIGR00580,0.0,1118.0
k91_11075_3	TIGR03625,1.2e-89,296.6
k91_5057_18	TIGR00496,6.5e-68,224.8
k91_5057_19	TIGR02075,1.1e-89,297.1
k91_29882_3	TIGR00042,3.7e-44,147.4
k91_31545_3	TIGR02729,1.4e-123,409.1
k91_37891_6	TIGR00959,2.5e-170,564.0
k91_37891_4	TIGR00064,1.7e-102,339.4
k91_5778_8	TIGR00158,1.8e-33,113.2
k91_5778_5	TIGR00166,3.2e-26,88.5
k91_8528_5	TIGR00095,3.2e-33,112.1
k91_8528_3	TIGR00643,1.4e-175,582.6
k91_10954_24	TIGR00593,5.5e-282,935.2
k91_400_1	TIGR00487,9.4e-174,576.4
k91_14786_8	TIGR01951,2.1e-29,99.5
k91_400_3	TIGR01953,6.2e-105,347.9
k91_31545_8	TIGR00090,1.4e-30,102.5
k91_7961_1	TIGR03594,5.8e-159,526.7
k91_35213_6	TIGR01632,9.2e-61,200.9
k91_35213_7	TIGR00922,3.3e-55,183.6
k91_35213_1	TIGR02386,0.0,1434.9
k91_33741_8	TIGR00250,2.3e-25,86.2
k91_33741_7	TIGR00344,1.3e-229,761.7
k91_33741_4	TIGR00459,2.6e-211,700.0
k91_35213_8	TIGR00964,2.4e-17,59.6
k91_27852_6	TIGR02191,1.6e-61,204.6
k91_10954_5	TIGR00445,2.8e-95,316.5
k91_10954_6	TIGR01087,2e-109,363.6
k91_10471_7	TIGR00755,8e-69,228.8
k91_17830_4	TIGR01391,3.7e-108,359.0
k91_10954_9	TIGR01082,1.9e-131,436.2
k91_28981_2	TIGR01017,2.8e-80,265.8
k91_28981_3	TIGR03632,2.6e-57,189.4
k91_18542_4	TIGR00963,0.0,1112.3
k91_28981_9	TIGR00967,6.6e-134,443.9
k91_3501_3	TIGR00422,6.7e-176,583.8
k91_35213_5	TIGR01169,7.7e-102,336.5
k91_22986_4	TIGR00414,3.6e-114,379.0
k91_29444_4	TIGR00631,0.0,1064.1
k91_6196_3	TIGR00138,1.9e-39,132.2
k91_37834_5	TIGR00194,1.7e-158,525.9
k91_35213_2	TIGR02013,0.0,1744.1
k91_20809_3	TIGR00634,1e-129,431.0
k91_34624_4	TIGR00092,1.1e-129,429.8
k91_2895_6	TIGR00336,5.9e-41,137.1
k91_27274_4	TIGR00392,1.1e-255,847.9
k91_9740_3	TIGR00928,9.8e-119,394.0
k91_5057_21	TIGR01011,9.6e-107,352.4
k91_5057_20	TIGR00116,7.3e-72,239.0
k91_7601_3	TIGR00398,3.8e-144,478.3
k91_35606_7	TIGR00389,5.1e-150,497.7
k91_37726_9	TIGR01302,3.7e-178,590.0
k91_32672_15	TIGR00420,7.5e-91,301.6
k91_36919_3	TIGR00658,2.4e-127,421.3
k91_5390_24	TIGR00539,4.1e-80,266.6
k91_10954_11	TIGR00065,5.7e-131,434.0
k91_14504_1	TIGR00435,2.9e-124,412.7
k91_18034_10	TIGR02350,2e-280,928.3
k91_10191_5	TIGR00059,3.4e-36,121.0
k91_10191_6	TIGR02027,8.8e-56,186.3
k91_2094_5	TIGR00019,8.3e-127,420.0
