Gene Id	Top hits (Family id,e-value,bitscore)
NODE_38_length_27194_cov_6.153469_6	PF00466.15,4e-20,69.4
NODE_38_length_27194_cov_6.153469_15	PF00687.16,4.7e-50,167.7
NODE_23_length_33482_cov_7.724684_9	PF02978.14,1.2e-32,110.0
NODE_19_length_35784_cov_6.308293_21	PF00410.14,2.3e-45,151.4
NODE_323_length_7403_cov_6.818590_2	PF00380.14,1.1e-45,152.5
NODE_23_length_33482_cov_7.724684_23	PF01025.14,8.4e-45,150.0
NODE_23_length_33482_cov_7.724684_27	PF03726.9,2.7e-16,57.4
NODE_19_length_35784_cov_6.308293_32	PF01000.21,4.9e-23,79.2
NODE_9_length_50229_cov_7.979691_4	PF02576.12,3e-37,125.1
NODE_101_length_15665_cov_6.099295_10	PF13685.1,1.4e-15,55.0
