Gene Id	Top hits (Family id,e-value,bitscore)
NODE_23_length_33482_cov_7.724684_20	TIGR02350,2.2e-294,974.8
NODE_3_length_70101_cov_7.636824_57	TIGR00043,6.1e-32,107.5
NODE_5_length_61559_cov_7.262568_6	TIGR00088,1.2e-72,241.4
NODE_2_length_75779_cov_7.202433_69	TIGR01017,2.6e-69,230.4
NODE_988_length_3611_cov_5.573960_2	TIGR01029,8e-69,227.9
NODE_5_length_61559_cov_7.262568_12	TIGR00460,4.5e-77,256.7
NODE_40_length_26693_cov_7.001689_4	TIGR00472,6.4e-182,604.2
NODE_242_length_9273_cov_7.622803_1	TIGR01063,0.0,1080.5
NODE_242_length_9273_cov_7.622803_3	TIGR01510,3.9e-58,193.3
NODE_468_length_5857_cov_7.140124_4	TIGR00416,9.5e-162,536.3
NODE_6_length_59956_cov_7.378825_15	TIGR00090,9.4e-35,116.2
NODE_4_length_66129_cov_7.359915_42	TIGR00456,1.1e-120,401.0
NODE_251_length_8952_cov_6.939305_8	TIGR00019,1.1e-142,472.6
NODE_333_length_7171_cov_7.252811_1	TIGR00065,4.6e-125,415.0
NODE_40_length_26693_cov_7.001689_6	TIGR00468,5.5e-102,338.7
NODE_40_length_26693_cov_7.001689_7	TIGR01032,2.8e-44,147.5
NODE_458_length_5885_cov_5.891938_5	TIGR00634,6.4e-128,425.5
NODE_38_length_27194_cov_6.153469_15	TIGR01169,1.8e-95,316.1
NODE_346_length_6997_cov_5.712907_9	TIGR00054,1.9e-24,83.7
NODE_38_length_27194_cov_6.153469_17	TIGR00922,3.1e-66,219.9
NODE_19_length_35784_cov_6.308293_18	TIGR01079,8.2e-37,123.3
NODE_346_length_6997_cov_5.712907_4	TIGR02075,1.9e-97,322.9
NODE_38_length_27194_cov_6.153469_18	TIGR00964,2.1e-18,63.4
NODE_54_length_22463_cov_7.165521_7	TIGR00006,4.4e-89,296.4
NODE_19_length_35784_cov_6.308293_13	TIGR01009,1.1e-96,320.1
NODE_19_length_35784_cov_6.308293_12	TIGR01044,2.7e-31,105.3
NODE_54_length_22463_cov_7.165521_2	TIGR00445,4.3e-121,401.7
NODE_346_length_6997_cov_5.712907_3	TIGR00116,3.4e-88,293.0
NODE_521_length_5423_cov_6.011550_3	TIGR00422,1.3e-256,851.3
NODE_250_length_8974_cov_6.175132_2	TIGR01393,1e-292,969.3
NODE_101_length_15665_cov_6.099295_3	TIGR00095,1.3e-39,133.3
NODE_346_length_6997_cov_5.712907_5	TIGR00496,1.5e-66,220.8
NODE_126_length_13640_cov_6.491940_3	TIGR00755,3.4e-73,243.5
NODE_3_length_70101_cov_7.636824_52	TIGR03725,1e-39,134.2
NODE_6_length_59956_cov_7.378825_55	TIGR02397,8e-119,394.4
NODE_128_length_13471_cov_5.551208_1	TIGR00382,3.1e-201,666.2
NODE_7_length_56797_cov_7.941366_21	TIGR00362,4.1e-128,425.6
NODE_19_length_35784_cov_6.308293_33	TIGR00059,6.8e-45,149.5
NODE_3_length_70101_cov_7.636824_23	TIGR01128,4.9e-33,112.2
NODE_18_length_36159_cov_7.819715_18	TIGR00963,0.0,1060.6
NODE_3_length_70101_cov_7.636824_21	TIGR00396,4.8e-292,968.5
NODE_38_length_27194_cov_6.153469_16	TIGR01632,2e-62,206.7
NODE_3_length_70101_cov_7.636824_26	TIGR00138,4.5e-37,124.9
NODE_23_length_33482_cov_7.724684_30	TIGR00082,1.2e-16,58.7
NODE_346_length_6997_cov_5.712907_2	TIGR01011,6.3e-94,310.9
NODE_31_length_30384_cov_7.354809_4	TIGR00658,1.8e-112,372.9
NODE_19_length_35784_cov_6.308293_10	TIGR01171,7.2e-124,410.0
NODE_48_length_23934_cov_5.710038_25	TIGR00414,3.6e-146,484.8
NODE_6_length_59956_cov_7.378825_3	TIGR01039,1.4e-247,819.3
NODE_7_length_56797_cov_7.941366_17	TIGR01059,8.4e-289,956.9
NODE_195_length_10460_cov_7.169822_13	TIGR00631,0.0,1013.4
NODE_19_length_35784_cov_6.308293_22	TIGR03654,7e-77,254.5
NODE_604_length_4875_cov_4.939834_2	TIGR02386,0.0,1731.1
NODE_19_length_35784_cov_6.308293_26	TIGR01071,6.4e-44,146.7
NODE_19_length_35784_cov_6.308293_27	TIGR00967,3e-127,422.4
NODE_19_length_35784_cov_6.308293_24	TIGR01021,3.4e-64,212.8
NODE_1410_length_2909_cov_6.451296_1	TIGR02013,0.0,1353.3
NODE_6_length_59956_cov_7.378825_60	TIGR00615,9.8e-58,192.3
NODE_332_length_7188_cov_5.083976_5	TIGR01951,1.7e-39,132.5
NODE_115_length_14322_cov_6.249667_3	TIGR03594,5.1e-161,533.9
NODE_285_length_7939_cov_5.830036_6	TIGR00810,8.8e-18,61.6
NODE_285_length_7939_cov_5.830036_5	TIGR00337,2.1e-223,740.1
NODE_1_length_76169_cov_7.185354_32	TIGR00344,5.1e-281,932.2
NODE_104_length_15352_cov_7.023796_6	TIGR00442,2.7e-113,376.4
NODE_23_length_33482_cov_7.724684_29	TIGR00431,1.5e-71,237.8
NODE_10_length_48396_cov_5.507499_15	TIGR01060,2.1e-200,663.2
NODE_18_length_36159_cov_7.819715_2	TIGR02729,6.6e-135,446.8
NODE_18_length_36159_cov_7.819715_1	TIGR00593,7.4e-199,660.6
NODE_124_length_13753_cov_7.150022_4	TIGR00061,7e-30,100.9
NODE_17_length_38671_cov_6.507743_21	TIGR01302,4e-188,623.3
NODE_23_length_33482_cov_7.724684_9	TIGR00959,6.4e-166,549.8
NODE_23_length_33482_cov_7.724684_7	TIGR02273,6.2e-37,124.0
NODE_46_length_24320_cov_5.523717_14	TIGR00580,0.0,1023.0
NODE_19_length_35784_cov_6.308293_31	TIGR03632,1.5e-58,193.8
NODE_46_length_24320_cov_5.523717_12	TIGR00643,5.6e-179,594.2
NODE_19_length_35784_cov_6.308293_32	TIGR02027,7.8e-119,393.7
NODE_53_length_22483_cov_6.584938_10	TIGR00092,1.8e-144,478.8
NODE_23_length_33482_cov_7.724684_15	TIGR00521,4.3e-122,405.3
NODE_1_length_76169_cov_7.185354_29	TIGR02012,7.8e-172,568.3
NODE_7_length_56797_cov_7.941366_30	TIGR01394,2.3e-283,938.3
NODE_12_length_48102_cov_7.222574_46	TIGR00717,2.8e-194,643.8
NODE_45_length_24513_cov_6.666571_11	TIGR00420,4.8e-96,319.1
NODE_108_length_14985_cov_6.382853_15	TIGR00054,9.2e-51,170.4
NODE_320_length_7428_cov_6.515530_1	TIGR00186,1.5e-49,166.1
NODE_19_length_35784_cov_6.308293_8	TIGR03953,1.8e-67,223.8
NODE_320_length_7428_cov_6.515530_4	TIGR00398,3.9e-135,449.0
NODE_19_length_35784_cov_6.308293_7	TIGR03625,2.5e-83,276.3
NODE_122_length_13778_cov_8.881003_12	TIGR00042,1.1e-47,159.3
NODE_122_length_13778_cov_8.881003_11	TIGR00539,2e-78,261.4
NODE_149_length_12259_cov_5.416421_12	TIGR00021,1.9e-73,243.9
NODE_236_length_9392_cov_6.068545_8	TIGR00250,6.7e-31,104.5
NODE_9_length_50229_cov_7.979691_44	TIGR03723,8.8e-119,393.7
NODE_7_length_56797_cov_7.941366_22	TIGR00029,1.7e-21,74.0
NODE_152_length_12162_cov_6.343851_3	TIGR00166,2.6e-22,76.3
NODE_7_length_56797_cov_7.941366_20	TIGR00663,6.8e-86,285.9
NODE_152_length_12162_cov_6.343851_1	TIGR00158,7e-42,140.8
NODE_12_length_48102_cov_7.222574_4	TIGR00083,6.4e-83,275.9
NODE_236_length_9392_cov_6.068545_6	TIGR00670,3.5e-87,289.8
NODE_19_length_35784_cov_6.308293_14	TIGR01164,5.3e-57,188.8
NODE_40_length_26693_cov_7.001689_10	TIGR00168,4.2e-64,212.6
NODE_44_length_24709_cov_7.303034_26	TIGR02258,2e-42,142.6
NODE_40_length_26693_cov_7.001689_13	TIGR00382,1.9e-54,182.7
NODE_49_length_23911_cov_6.506497_13	TIGR00435,7.3e-146,484.3
NODE_71_length_19335_cov_5.912344_11	TIGR00086,2.8e-53,177.3
NODE_71_length_19335_cov_5.912344_13	TIGR00020,2.3e-135,448.7
NODE_6_length_59956_cov_7.378825_2	TIGR01146,2.1e-95,317.2
NODE_6_length_59956_cov_7.378825_27	TIGR00936,4.5e-179,593.0
NODE_32_length_28955_cov_6.377993_24	TIGR00436,2.1e-65,218.2
NODE_32_length_28955_cov_6.377993_25	TIGR02191,1.1e-64,215.3
NODE_195_length_10460_cov_7.169822_3	TIGR00194,9.6e-157,520.5
NODE_152_length_12162_cov_6.343851_13	TIGR03263,8.2e-72,238.0
NODE_9_length_50229_cov_7.979691_1	TIGR00487,4e-233,772.8
NODE_9_length_50229_cov_7.979691_3	TIGR01953,6.8e-125,414.0
NODE_667_length_4597_cov_6.289080_6	TIGR00928,1.7e-149,495.7
NODE_323_length_7403_cov_6.818590_1	TIGR01066,6.4e-54,179.0
NODE_176_length_11185_cov_7.638814_3	TIGR01082,4.1e-160,531.1
NODE_1_length_76169_cov_7.185354_60	TIGR01391,3.7e-129,428.6
NODE_2877_length_1866_cov_5.376035_1	TIGR00459,2.9e-175,581.4
NODE_97_length_15871_cov_6.866654_7	TIGR00635,2.9e-133,441.0
NODE_9_length_50229_cov_7.979691_26	TIGR00064,4.4e-94,312.3
NODE_97_length_15871_cov_6.866654_8	TIGR00084,6.2e-29,98.3
