Gene Id	Top hits (Family id,e-value,bitscore)
NODE_177_length_5283_cov_7.026970_4	PF00687.16,5.3e-49,163.9
NODE_177_length_5283_cov_7.026970_3	PF00466.15,5.1e-26,87.9
NODE_11_length_20754_cov_7.883811_17	PF02576.12,9.3e-29,97.2
NODE_48_length_13036_cov_7.543256_5	PF02978.14,8.6e-32,106.9
NODE_181_length_5066_cov_7.887647_7	PF00410.14,4.1e-47,156.7
NODE_11_length_20754_cov_7.883811_8	PF13685.1,3.7e-74,246.6
NODE_84_length_9457_cov_7.148266_5	PF00380.14,2.1e-45,151.3
NODE_47_length_13209_cov_7.555268_4	PF03726.9,6e-16,55.9
NODE_118_length_8078_cov_7.729902_2	PF13685.1,4e-77,256.3
NODE_33_length_14887_cov_7.551645_13	PF01000.21,9.9e-25,84.3
NODE_22_length_17168_cov_7.581546_13	PF01025.14,1.6e-39,132.5
